Id,Particion
425,Entrenamiento
431,Entrenamiento
432,Prueba
435,Entrenamiento
436,Validacion
437,Entrenamiento
438,Validacion
439,Entrenamiento
440,Prueba
441,Entrenamiento
442,Entrenamiento
443,Entrenamiento
444,Entrenamiento
445,Prueba
446,Prueba
447,Entrenamiento
448,Entrenamiento
449,Entrenamiento
450,Validacion
451,Validacion
453,Entrenamiento
455,Entrenamiento
456,Entrenamiento
457,Entrenamiento
458,Entrenamiento
459,Entrenamiento
460,Entrenamiento
461,Entrenamiento
462,Entrenamiento
463,Entrenamiento
464,Entrenamiento
466,Validacion
467,Entrenamiento
468,Entrenamiento
469,Entrenamiento
470,Validacion
471,Prueba
472,Entrenamiento
473,Validacion
474,Entrenamiento
475,Entrenamiento
476,Entrenamiento
477,Entrenamiento
478,Entrenamiento
481,Prueba
482,Entrenamiento
483,Entrenamiento
484,Entrenamiento
485,Entrenamiento
486,Validacion
487,Entrenamiento
488,Entrenamiento
489,Entrenamiento
490,Entrenamiento
492,Entrenamiento
493,Entrenamiento
494,Entrenamiento
496,Entrenamiento
497,Validacion
498,Entrenamiento
499,Entrenamiento
500,Prueba
501,Entrenamiento
502,Prueba
503,Prueba
504,Prueba
505,Entrenamiento
506,Entrenamiento
507,Entrenamiento
508,Entrenamiento
509,Validacion
510,Prueba
511,Entrenamiento
512,Prueba
513,Prueba
514,Entrenamiento
515,Entrenamiento
516,Entrenamiento
517,Entrenamiento
518,Entrenamiento
519,Entrenamiento
520,Prueba
521,Entrenamiento
522,Entrenamiento
524,Entrenamiento
525,Entrenamiento
526,Entrenamiento
528,Entrenamiento
531,Prueba
532,Validacion
534,Entrenamiento
535,Entrenamiento
537,Entrenamiento
538,Entrenamiento
540,Entrenamiento
541,Entrenamiento
542,Entrenamiento
543,Entrenamiento
545,Entrenamiento
546,Entrenamiento
547,Prueba
548,Entrenamiento
549,Entrenamiento
550,Entrenamiento
551,Entrenamiento
552,Entrenamiento
553,Entrenamiento
554,Entrenamiento
556,Entrenamiento
557,Entrenamiento
558,Entrenamiento
560,Entrenamiento
561,Entrenamiento
562,Entrenamiento
563,Entrenamiento
564,Entrenamiento
565,Entrenamiento
566,Prueba
567,Validacion
569,Validacion
570,Validacion
571,Entrenamiento
573,Entrenamiento
574,Prueba
575,Entrenamiento
578,Entrenamiento
579,Prueba
580,Entrenamiento
581,Entrenamiento
583,Entrenamiento
584,Entrenamiento
587,Entrenamiento
588,Validacion
593,Entrenamiento
594,Entrenamiento
595,Entrenamiento
596,Entrenamiento
597,Entrenamiento
601,Entrenamiento
602,Entrenamiento
604,Entrenamiento
605,Entrenamiento
606,Entrenamiento
607,Validacion
609,Entrenamiento
610,Entrenamiento
611,Validacion
612,Prueba
613,Entrenamiento
614,Entrenamiento
616,Entrenamiento
617,Entrenamiento
618,Entrenamiento
619,Validacion
622,Entrenamiento
623,Entrenamiento
624,Entrenamiento
625,Entrenamiento
626,Entrenamiento
627,Entrenamiento
628,Prueba
630,Entrenamiento
631,Entrenamiento
632,Entrenamiento
633,Entrenamiento
634,Validacion
636,Entrenamiento
638,Prueba
639,Entrenamiento
640,Entrenamiento
641,Entrenamiento
642,Entrenamiento
643,Entrenamiento
645,Entrenamiento
646,Entrenamiento
647,Prueba
648,Prueba
649,Validacion
651,Prueba
653,Entrenamiento
654,Validacion
655,Entrenamiento
656,Entrenamiento
657,Entrenamiento
658,Entrenamiento
659,Validacion
660,Prueba
661,Entrenamiento
662,Entrenamiento
663,Prueba
664,Entrenamiento
665,Entrenamiento
666,Entrenamiento
667,Entrenamiento
668,Entrenamiento
669,Validacion
672,Entrenamiento
674,Entrenamiento
676,Prueba
677,Entrenamiento
679,Entrenamiento
682,Entrenamiento
684,Prueba
685,Prueba
686,Prueba
687,Entrenamiento
688,Prueba
689,Validacion
690,Entrenamiento
691,Entrenamiento
693,Validacion
695,Entrenamiento
697,Validacion
698,Entrenamiento
699,Entrenamiento
700,Entrenamiento
701,Entrenamiento
702,Entrenamiento
703,Entrenamiento
704,Prueba
705,Entrenamiento
706,Entrenamiento
707,Entrenamiento
709,Entrenamiento
710,Entrenamiento
711,Validacion
713,Prueba
714,Entrenamiento
715,Validacion
716,Entrenamiento
717,Validacion
718,Entrenamiento
720,Validacion
722,Entrenamiento
724,Prueba
725,Validacion
726,Entrenamiento
727,Prueba
728,Entrenamiento
729,Entrenamiento
730,Entrenamiento
731,Entrenamiento
732,Prueba
733,Validacion
735,Prueba
736,Entrenamiento
738,Prueba
739,Validacion
740,Entrenamiento
741,Entrenamiento
742,Prueba
743,Entrenamiento
744,Validacion
746,Prueba
748,Entrenamiento
749,Validacion
750,Entrenamiento
751,Validacion
752,Validacion
753,Entrenamiento
754,Entrenamiento
757,Entrenamiento
758,Prueba
759,Prueba
760,Entrenamiento
761,Entrenamiento
762,Prueba
763,Entrenamiento
764,Validacion
765,Validacion
767,Prueba
768,Prueba
769,Entrenamiento
770,Entrenamiento
771,Prueba
772,Prueba
774,Entrenamiento
776,Validacion
777,Validacion
779,Entrenamiento
780,Entrenamiento
781,Validacion
784,Entrenamiento
785,Validacion
786,Entrenamiento
787,Entrenamiento
788,Prueba
790,Entrenamiento
791,Entrenamiento
792,Prueba
793,Entrenamiento
794,Entrenamiento
795,Entrenamiento
796,Entrenamiento
798,Prueba
799,Entrenamiento
800,Entrenamiento
801,Validacion
802,Validacion
804,Entrenamiento
805,Entrenamiento
806,Entrenamiento
808,Entrenamiento
809,Entrenamiento
810,Entrenamiento
811,Entrenamiento
814,Entrenamiento
815,Entrenamiento
816,Entrenamiento
817,Entrenamiento
819,Validacion
820,Validacion
821,Entrenamiento
822,Entrenamiento
823,Prueba
824,Entrenamiento
825,Entrenamiento
826,Entrenamiento
827,Entrenamiento
828,Entrenamiento
829,Entrenamiento
830,Entrenamiento
831,Entrenamiento
832,Entrenamiento
833,Entrenamiento
834,Entrenamiento
835,Entrenamiento
836,Entrenamiento
838,Entrenamiento
840,Validacion
841,Validacion
842,Entrenamiento
843,Validacion
845,Entrenamiento
846,Entrenamiento
848,Prueba
849,Entrenamiento
850,Entrenamiento
851,Entrenamiento
852,Entrenamiento
853,Entrenamiento
854,Entrenamiento
855,Entrenamiento
857,Entrenamiento
858,Entrenamiento
859,Entrenamiento
860,Entrenamiento
861,Validacion
862,Entrenamiento
863,Entrenamiento
864,Validacion
865,Validacion
867,Prueba
868,Entrenamiento
869,Entrenamiento
870,Entrenamiento
871,Validacion
872,Entrenamiento
873,Validacion
874,Entrenamiento
876,Entrenamiento
877,Entrenamiento
878,Entrenamiento
879,Entrenamiento
880,Prueba
881,Entrenamiento
883,Entrenamiento
884,Entrenamiento
885,Entrenamiento
886,Validacion
887,Validacion
889,Entrenamiento
890,Validacion
891,Validacion
892,Entrenamiento
894,Entrenamiento
896,Entrenamiento
897,Entrenamiento
898,Prueba
900,Prueba
901,Entrenamiento
902,Prueba
903,Entrenamiento
904,Entrenamiento
905,Prueba
906,Entrenamiento
909,Entrenamiento
910,Prueba
912,Entrenamiento
913,Validacion
914,Prueba
915,Entrenamiento
919,Entrenamiento
920,Entrenamiento
921,Prueba
922,Entrenamiento
924,Entrenamiento
925,Validacion
927,Entrenamiento
928,Entrenamiento
929,Entrenamiento
930,Entrenamiento
932,Entrenamiento
933,Entrenamiento
934,Entrenamiento
935,Validacion
936,Entrenamiento
937,Entrenamiento
939,Entrenamiento
941,Entrenamiento
942,Validacion
943,Entrenamiento
944,Validacion
945,Validacion
946,Validacion
948,Entrenamiento
950,Entrenamiento
951,Entrenamiento
952,Entrenamiento
954,Prueba
955,Prueba
956,Entrenamiento
957,Prueba
958,Entrenamiento
960,Entrenamiento
961,Entrenamiento
962,Validacion
963,Entrenamiento
964,Entrenamiento
965,Validacion
966,Entrenamiento
968,Entrenamiento
969,Prueba
970,Entrenamiento
971,Validacion
972,Prueba
973,Prueba
974,Entrenamiento
975,Entrenamiento
976,Entrenamiento
977,Entrenamiento
978,Validacion
979,Entrenamiento
981,Entrenamiento
982,Entrenamiento
983,Prueba
984,Entrenamiento
986,Entrenamiento
987,Entrenamiento
988,Entrenamiento
989,Entrenamiento
992,Entrenamiento
993,Entrenamiento
994,Entrenamiento
996,Entrenamiento
997,Entrenamiento
998,Prueba
1000,Validacion
1001,Entrenamiento
1003,Entrenamiento
1004,Entrenamiento
1005,Entrenamiento
1006,Entrenamiento
1008,Validacion
1009,Entrenamiento
1011,Entrenamiento
1012,Validacion
1013,Validacion
1014,Entrenamiento
1015,Entrenamiento
1016,Entrenamiento
1017,Entrenamiento
1018,Prueba
1020,Entrenamiento
1021,Validacion
1022,Entrenamiento
1023,Entrenamiento
1024,Prueba
1026,Validacion
1027,Entrenamiento
1029,Entrenamiento
1030,Validacion
1031,Entrenamiento
1032,Prueba
1035,Entrenamiento
1036,Prueba
1038,Entrenamiento
1039,Entrenamiento
1040,Entrenamiento
1044,Entrenamiento
1045,Prueba
1046,Entrenamiento
1049,Entrenamiento
1051,Validacion
1052,Entrenamiento
1053,Validacion
1056,Validacion
1057,Validacion
1058,Entrenamiento
1059,Entrenamiento
1060,Entrenamiento
1061,Entrenamiento
1063,Entrenamiento
1064,Entrenamiento
1065,Entrenamiento
1066,Entrenamiento
1067,Entrenamiento
1068,Entrenamiento
1069,Entrenamiento
1070,Entrenamiento
1071,Entrenamiento
1072,Entrenamiento
1073,Entrenamiento
1074,Entrenamiento
1075,Entrenamiento
1076,Entrenamiento
1077,Validacion
1078,Entrenamiento
1080,Entrenamiento
1081,Entrenamiento
1082,Entrenamiento
1083,Entrenamiento
1084,Prueba
1085,Entrenamiento
1087,Entrenamiento
1088,Validacion
1091,Entrenamiento
1092,Prueba
1094,Prueba
1096,Entrenamiento
1097,Entrenamiento
1098,Entrenamiento
1099,Entrenamiento
1100,Entrenamiento
1101,Entrenamiento
1104,Validacion
1105,Prueba
1107,Entrenamiento
1108,Entrenamiento
1110,Validacion
1111,Entrenamiento
1112,Entrenamiento
1113,Validacion
1115,Entrenamiento
1116,Entrenamiento
1117,Prueba
1118,Entrenamiento
1119,Entrenamiento
1120,Entrenamiento
1122,Entrenamiento
1123,Prueba
1124,Entrenamiento
1125,Entrenamiento
1127,Entrenamiento
1128,Entrenamiento
1129,Entrenamiento
1130,Entrenamiento
1131,Entrenamiento
1136,Entrenamiento
1137,Prueba
1138,Validacion
1140,Entrenamiento
1141,Prueba
1142,Entrenamiento
1143,Prueba
1144,Prueba
1145,Entrenamiento
1146,Validacion
1147,Entrenamiento
1148,Entrenamiento
1149,Entrenamiento
1150,Entrenamiento
1151,Entrenamiento
1152,Entrenamiento
1153,Entrenamiento
1154,Validacion
1155,Entrenamiento
1156,Entrenamiento
1158,Entrenamiento
1159,Validacion
1162,Validacion
1163,Entrenamiento
1166,Entrenamiento
1167,Prueba
1168,Entrenamiento
1169,Validacion
1170,Entrenamiento
1172,Entrenamiento
1173,Entrenamiento
1175,Entrenamiento
1177,Entrenamiento
1180,Entrenamiento
1181,Prueba
1182,Entrenamiento
1183,Entrenamiento
1184,Entrenamiento
1185,Entrenamiento
1186,Prueba
1187,Validacion
1188,Prueba
1189,Entrenamiento
1190,Validacion
1191,Entrenamiento
1192,Validacion
1193,Entrenamiento
1194,Entrenamiento
1195,Entrenamiento
1196,Entrenamiento
1197,Entrenamiento
1198,Entrenamiento
1199,Entrenamiento
1200,Prueba
1201,Entrenamiento
1203,Entrenamiento
1204,Entrenamiento
1205,Entrenamiento
1206,Prueba
1207,Entrenamiento
1208,Validacion
1209,Entrenamiento
1210,Prueba
1211,Entrenamiento
1212,Prueba
1213,Entrenamiento
1214,Validacion
1215,Entrenamiento
1216,Entrenamiento
1218,Entrenamiento
1219,Entrenamiento
1220,Entrenamiento
1223,Entrenamiento
1224,Entrenamiento
1225,Prueba
1226,Entrenamiento
1228,Entrenamiento
1230,Entrenamiento
1231,Entrenamiento
1232,Entrenamiento
1234,Entrenamiento
1235,Entrenamiento
1236,Validacion
1237,Prueba
1238,Entrenamiento
1239,Prueba
1240,Validacion
1242,Entrenamiento
1243,Entrenamiento
1245,Entrenamiento
1246,Prueba
1247,Prueba
1248,Prueba
1249,Entrenamiento
1251,Entrenamiento
1252,Entrenamiento
1254,Entrenamiento
1255,Validacion
1256,Validacion
1257,Prueba
1258,Prueba
1259,Entrenamiento
1260,Entrenamiento
1261,Entrenamiento
1262,Entrenamiento
1263,Entrenamiento
1264,Entrenamiento
1265,Entrenamiento
1267,Entrenamiento
1268,Prueba
1269,Entrenamiento
1271,Entrenamiento
1274,Entrenamiento
1275,Prueba
1276,Prueba
1277,Entrenamiento
1278,Entrenamiento
1279,Entrenamiento
1281,Validacion
1282,Entrenamiento
1283,Validacion
1284,Entrenamiento
1285,Entrenamiento
1286,Prueba
1287,Entrenamiento
1288,Entrenamiento
1289,Entrenamiento
1290,Prueba
1291,Entrenamiento
1293,Entrenamiento
1295,Entrenamiento
1296,Entrenamiento
1297,Prueba
1298,Entrenamiento
1299,Entrenamiento
1301,Entrenamiento
1302,Entrenamiento
1303,Validacion
1304,Entrenamiento
1305,Prueba
1306,Entrenamiento
1308,Entrenamiento
1309,Entrenamiento
1310,Validacion
1311,Prueba
1312,Entrenamiento
1313,Entrenamiento
1314,Entrenamiento
1315,Entrenamiento
1316,Entrenamiento
1317,Prueba
1319,Entrenamiento
1320,Prueba
1322,Entrenamiento
1323,Prueba
1324,Entrenamiento
1325,Entrenamiento
1326,Entrenamiento
1327,Prueba
1328,Entrenamiento
1329,Prueba
1330,Entrenamiento
1331,Entrenamiento
1333,Entrenamiento
1335,Entrenamiento
1336,Entrenamiento
1337,Validacion
1338,Prueba
1339,Entrenamiento
1340,Entrenamiento
1342,Entrenamiento
1343,Entrenamiento
1344,Validacion
1346,Validacion
1347,Entrenamiento
1349,Entrenamiento
1350,Entrenamiento
1351,Entrenamiento
1352,Entrenamiento
1353,Entrenamiento
1354,Entrenamiento
1355,Prueba
1356,Prueba
1358,Entrenamiento
1360,Entrenamiento
1361,Entrenamiento
1363,Entrenamiento
1364,Entrenamiento
1365,Entrenamiento
1366,Entrenamiento
1367,Entrenamiento
1368,Entrenamiento
1370,Entrenamiento
1371,Entrenamiento
1372,Prueba
1373,Prueba
1374,Entrenamiento
1375,Entrenamiento
1376,Entrenamiento
1377,Entrenamiento
1378,Entrenamiento
1379,Validacion
1380,Validacion
1381,Entrenamiento
1382,Entrenamiento
1383,Entrenamiento
1384,Prueba
1385,Prueba
1386,Entrenamiento
1387,Entrenamiento
1388,Entrenamiento
1389,Prueba
1390,Entrenamiento
1391,Entrenamiento
1392,Entrenamiento
1394,Entrenamiento
1396,Entrenamiento
1397,Entrenamiento
1400,Validacion
1401,Entrenamiento
1402,Entrenamiento
1403,Validacion
1404,Entrenamiento
1405,Entrenamiento
1406,Validacion
1407,Prueba
1408,Entrenamiento
1409,Entrenamiento
1410,Entrenamiento
1412,Entrenamiento
1413,Entrenamiento
1414,Entrenamiento
1416,Entrenamiento
1417,Entrenamiento
1418,Entrenamiento
1419,Entrenamiento
1420,Entrenamiento
1421,Prueba
1423,Entrenamiento
1424,Prueba
1425,Entrenamiento
1426,Entrenamiento
1427,Entrenamiento
1430,Entrenamiento
1432,Validacion
1434,Entrenamiento
1435,Prueba
1436,Entrenamiento
1437,Prueba
1438,Entrenamiento
1439,Prueba
1440,Prueba
1441,Prueba
1442,Prueba
1443,Prueba
1444,Entrenamiento
1445,Entrenamiento
1446,Entrenamiento
1447,Prueba
1449,Prueba
1452,Entrenamiento
1453,Entrenamiento
1454,Validacion
1455,Validacion
1456,Entrenamiento
1457,Validacion
1458,Entrenamiento
1459,Entrenamiento
1460,Entrenamiento
